stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
10149,3027,BLAIR D,,,45.431831,-75.607735,,,0,3027_stn,,,,D
1015,2460,HAZELDEAN MALL / WEST STOP,,,45.301282,-75.877205,,,0,,,,,
10155,0407,EAGLESON AD. 630,,,45.289391,-75.868876,,,0,,,,,
10156,5824,OBLATS / MAIN,,,45.409847,-75.678323,,,0,,,,,
10157,5825,HAZEL / DESCHATELETS,,,45.408885,-75.676467,,,0,,,,,
10159,3014,LINCOLN FIELDS 3A,,,45.366789,-75.78252,,,0,3014_stn,,,,3A
1016,5395,ROBERTSON / GREENBELT,,,45.306288,-75.87103,,,0,,,,,
10160,3014,LINCOLN FIELDS 4B,,,45.366992,-75.782812,,,0,3014_stn,,,,4B
10161,3014,LINCOLN FIELDS 3B,,,45.366538,-75.782581,,,0,3014_stn,,,,3B
10162,3014,LINCOLN FIELDS 4A,,,45.366655,-75.782821,,,0,3014_stn,,,,4A
10163,1010,ORCHARDVIEW LIVING CENTRE,,,45.235198,-75.610633,,,0,,,,,
10164,6984,8TH LINE / RUSSELL,,,45.229886,-75.469654,,,0,,,,,
10165,6985,8TH LINE / RUSSELL,,,45.22992,-75.469584,,,0,,,,,
10166,7637,ACCEPTANCE / HOPE SIDE,,,45.276007,-75.84084,,,0,,,,,
1017,5387,2775 ROBERTSON,,,45.30868,-75.865182,,,0,,,,,
10173,7335,SCOTT / HOLLAND,,,45.403911,-75.733829,,,0,,,,,
1018,5382,ROBERTSON / HAANEL,,,45.311065,-75.859427,,,0,,,,,
10186,8970,KING EDWARD / LAURIER E,,,45.425193,-75.68273,,,0,,,,,
1019,5385,2405 ROBERTSON,,,45.315483,-75.848755,,,0,,,,,
102,3031,SMYTH 1A (B),,,45.401402,-75.66669,,,0,3031_stn,,,,1A
1020,0913,ROBERTSON / MILL HILL,,,45.317685,-75.843508,,,0,,,,,
1021,2959,ROBERTSON / WESTCLIFFE,,,45.318623,-75.841458,,,0,,,,,
10213,1072,MANOTICK STATION / HERBERTS CORNERS,,,45.205457,-75.594108,,,0,,,,,
10214,1073,MANOTICK STATION / HERBERTS CORNERS,,,45.205758,-75.594578,,,0,,,,,
10215,6994,MANOTICK STATION / ELKWOOD,,,45.235653,-75.611762,,,0,,,,,
10216,6995,MANOTICK STATION / ELKWOOD,,,45.235206,-75.611558,,,0,,,,,
10217,6998,PARKWAY / GOOD,,,45.260502,-75.565782,,,0,,,,,
10218,6999,PARKWAY / GOOD,,,45.260617,-75.565866,,,0,,,,,
10219,9000,PARKWAY / MEADOW,,,45.262724,-75.560501,,,0,,,,,
10220,9001,PARKWAY / MEADOW,,,45.263041,-75.560019,,,0,,,,,
10221,9007,GREELY COMMUNITY CENTRE,,,45.261258,-75.557278,,,0,,,,,
10222,9002,BANK / MASON,,,45.276657,-75.567935,,,0,,,,,
10223,9003,BANK / MASON,,,45.276538,-75.568231,,,0,,,,,
10224,1918,OSGOODE / LOGAN FARM,,,45.148075,-75.602155,,,0,,,,,
10225,1900,OSGOODE / LOGAN FARM,,,45.148164,-75.602228,,,0,,,,,
10227,5948,DOCTOR LEACH / AD. 5581,,,45.22178,-75.685564,,,0,,,,,
10228,0769,STRANDHERD / LIEBE,,,45.260706,-75.762702,,,0,,,,,
10229,NO240,LOUIS RIEL H.S,,,45.441034,-75.571779,,,,,,0,,
10230,0098,LOUIS RIEL H.S,,,45.440801,-75.572171,,,0,,,,,
10231,0365,FERNBANK / EDENWYLDE,,,45.254586,-75.901189,,,0,,,,,
10232,0366,FERNBANK / EDENWYLDE,,,45.254876,-75.900554,,,0,,,,,
10234,7182,169 LEES AVE,,,45.415253,-75.672104,,,0,,,,,
10236,EG572,JASMINE / OGILVIE,,,45.442733,-75.595947,,,,,,0,,
10246,8010,INGLEWOOD / MACFARLANE,,,45.391467,-75.722195,,,0,,,,,
1025,5290,ROBERTSON / VANIER,,,45.323677,-75.829125,,,0,,,,,
10251,0489,KELLY FARM / WHITE ALDER,,,45.319199,-75.608472,,,0,,,,,
10252,0402,KELLY FARM / BARRETT FARM,,,45.323484,-75.611264,,,0,,,,,
10253,0403,KELLY FARM / BARRETT FARM,,,45.32355,-75.61137,,,0,,,,,
10254,0426,KELLY FARM / TROLLIUS,,,45.320552,-75.609474,,,0,,,,,
10255,0427,KELLY FARM / TROLLIUS,,,45.320603,-75.609555,,,0,,,,,
10256,0436,KELLY FARM / SORA,,,45.312566,-75.597486,,,0,,,,,
10257,0435,KELLY FARM / MABERLY,,,45.312814,-75.597785,,,0,,,,,
10258,0454,KELLY FARM / MIIKANA,,,45.310789,-75.596028,,,0,,,,,
10259,0455,KELLY FARM / MIIKANA,,,45.311009,-75.596315,,,0,,,,,
1026,0933,1966 ROBERTSON,,,45.32525,-75.825215,,,0,,,,,
10260,0490,KELLY FARM / ZAATIIK,,,45.308736,-75.594426,,,0,,,,,
10261,0491,KELLY FARM / DUN SKIPPER,,,45.308209,-75.593923,,,0,,,,,
10262,0496,DUN SKIPPER / CEDAR CREEK,,,45.309486,-75.589913,,,0,,,,,
10263,0497,DUN SKIPPER / CEDAR CREEK,,,45.309465,-75.589783,,,0,,,,,
10264,4710,CITIGATE / CROSSKEYS,,,45.270011,-75.787476,,,0,,,,,
10265,4711,CITIGATE / CROSSKEYS,,,45.269475,-75.787056,,,0,,,,,
10266,4712,CITIGATE / SYSTEMHOUSE,,,45.266886,-75.785628,,,0,,,,,
10267,4713,CITIGATE / SYSTEMHOUSE,,,45.267188,-75.785705,,,0,,,,,
10268,4714,SYSTEMHOUSE / PATHWAY,,,45.268164,-75.781901,,,0,,,,,
10269,4715,SYSTEMHOUSE / TRINITY CROSSING,,,45.268169,-75.782157,,,0,,,,,
1027,5292,ROBERTSON / STINSON,,,45.32661,-75.82206,,,0,,,,,
10270,8583,BELFAST / AD. 830,,,45.412712,-75.637249,,,0,,,,,
10271,8584,BELFAST / AD. 869,,,45.412979,-75.637657,,,0,,,,,
10272,8008,FERN CASEY / AXIS,,,45.43892,-75.507915,,,0,,,,,
10273,8009,FERN CASEY / COULOIR,,,45.439561,-75.508036,,,0,,,,,
1028,5294,ROBERTSON / LYNHAR,,,45.327873,-75.81896,,,0,,,,,
10283,NO145,HOLY TRINITY,,,45.307931,-75.900299,,,,,,0,,
